ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,DELETED
1613,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/Tian Wang Bu Xin Wan,Arsenic,2,ppm,Lanzhou Traditional Herbs,CHINA,12/16/2015 12:00:00 AM,No
1617,Dietary Supplement/Medications/Remedy,Poria & Peony Combo Extract (Conc)/Shu Gan Wan,Lead,1.3,ppm,Lanzhou Traditional Herbs,CHINA,12/16/2015 12:00:00 AM,No
1080,Cosmetics,Cora Super White brightening gel,Mercury,-1,ppm,Under license of Cora Jacobsohn,LEBANON,04/01/2014 12:00:00 AM,No
9,Cosmetics,Surma (Hashmi),Lead,410000,ppm,UNKNOWN OR NOT STATED,PAKISTAN,01/19/2011 12:00:00 AM,No
558,Toys/Children's Products,Modeling Clay,Lead,4.3,ppm,UNKNOWN OR NOT STATED,CHINA,08/10/2012 12:00:00 AM,No
559,Toys/Children's Products,Tonka Toy truck,Lead,-1,ppm,Hasbro,CHINA,08/10/2012 12:00:00 AM,No
995,Dietary Supplement/Medications/Remedy,Rejvon (Ayurvedic),Mercury,1.4,ppm,UNKNOWN OR NOT STATED,INDIA,12/10/2013 12:00:00 AM,No
1313,Dietary Supplement/Medications/Remedy,Brahmi Bati (Ayurvedic),Lead,7,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,02/25/2015 12:00:00 AM,No
1122,Food-Spice,Georgian 'Tkemali' or 'Plum sauce',Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/29/2014 12:00:00 AM,No
612,Toys/Children's Products,Orange toy car,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/09/2012 12:00:00 AM,No
202,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,06/02/2011 12:00:00 AM,No
399,Food-Spice,Georgian spice,Lead,1000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/09/2012 12:00:00 AM,No
1223,Food-Spice,Chili powder,Lead,1.4,ppm,UNKNOWN OR NOT STATED,BANGLADESH,10/10/2014 12:00:00 AM,No
1555,Toys/Children's Products,Blue wooden ball,Lead,19,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/15/2015 12:00:00 AM,No
388,Food Other,Complan,Lead,-1,ppm,Heinz India PVT Ltd,INDIA,02/14/2012 12:00:00 AM,No
317,Food-Spice,Spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,JAMAICA,11/04/2011 12:00:00 AM,No
1478,Food-Spice,Chili powder,Lead,6.3,ppm,UNKNOWN OR NOT STATED,BANGLADESH,03/30/2015 12:00:00 AM,No
12,Food-Spice,Garam masala,Lead,3.2,ppm,UNKNOWN OR NOT STATED,INDIA,01/19/2011 12:00:00 AM,No
1565,Food-Spice,Coriander,Lead,0.53,ppm,UNKNOWN OR NOT STATED,BANGLADESH,12/03/2015 12:00:00 AM,No
1045,Food-Spice,Qorma Masala Spice Mix,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/17/2014 12:00:00 AM,No
92,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,04/07/2011 12:00:00 AM,No
1255,Food-Spice,Red spice,Lead,2.5,ppm,UNKNOWN OR NOT STATED,BANGLADESH,01/20/2015 12:00:00 AM,No
810,Dietary Supplement/Medications/Remedy,Herb (Asparagus root),Lead,-1,ppm,Jiangyin Tianjiang Herb Work Co,CHINA,06/12/2013 12:00:00 AM,No
1101,Cosmetics,Omic Soap,Lead,-1,ppm,MItchell group,LEBANON,04/01/2014 12:00:00 AM,No
1523,Food-Spice,Mole,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,08/28/2015 12:00:00 AM,No
138,Food-Spice,Almonds,Lead,-1,ppm,Yiyuan,UNKNOWN OR NOT STATED,04/26/2011 12:00:00 AM,No
523,Toys/Children's Products,Frog/Duck,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,06/23/2012 12:00:00 AM,No
672,Dietary Supplement/Medications/Remedy,Shatavari Capsules (Ayurvedic),Arsenic,-1,ppm,Goodcare Pharma (P) Ltd.,INDIA,12/03/2012 12:00:00 AM,No
665,Religious powder,Bhai Tika (yellow powder),Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,12/03/2012 12:00:00 AM,No
248,Food-Spice,Mustard seeds,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,07/14/2011 12:00:00 AM,No
918,Food-Candy,Portico powder candy,Lead,1.1,ppm,J Hecho,MEXICO,10/17/2013 12:00:00 AM,No
112,Food-Spice,Cumin,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/15/2011 12:00:00 AM,No
855,Dietary Supplement/Medications/Remedy,Shilajeet Rasyan (Ayurvedic),Mercury,6.6,ppm,Divya Pharmacy,INDIA,07/17/2013 12:00:00 AM,No
999,Cosmetics,Kajal,Lead,-1,ppm,Biotique,INDIA,12/10/2013 12:00:00 AM,No
1504,Tableware/Pottery,Clay cup,Lead,320000,ppm,UNKNOWN OR NOT STATED,MEXICO,06/15/2015 12:00:00 AM,No
1187,Food-Candy,Felon Mini,Lead,1,ppm,carratera guadalajara,MEXICO,08/21/2014 12:00:00 AM,No
1511,Toys/Children's Products,Crayon,Lead,1.2,ppm,UNKNOWN OR NOT STATED,CHINA,07/10/2015 12:00:00 AM,No
1539,Toys/Children's Products,Plastic toy bottle,Lead,14,ppm,UNKNOWN OR NOT STATED,CHINA,10/02/2015 12:00:00 AM,No
1471,Dietary Supplement/Medications/Remedy,Herbal capsules,Arsenic,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/26/2015 12:00:00 AM,No
489,Dietary Supplement/Medications/Remedy,Pushyanug Churna (Ayurvedic),Lead,2.6,ppm,Shri Yash Remedies,INDIA,06/07/2012 12:00:00 AM,No
1065,Food-Spice,Coriander powder,Lead,0.99,ppm,UNKNOWN OR NOT STATED,BANGLADESH,02/28/2014 12:00:00 AM,No
787,Dietary Supplement/Medications/Remedy,Sleep aid (Herbal capsules),Mercury,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/03/2013 12:00:00 AM,No
769,Food Other,Rock Salt,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,03/29/2013 12:00:00 AM,No
1127,Dietary Supplement/Medications/Remedy,Ambrox cough medicine,Lead,-1,ppm,Square Pharmaceuticals LTD,BANGLADESH,05/16/2014 12:00:00 AM,No
693,Dietary Supplement/Medications/Remedy,Kapah,Lead,2,ppm,KAPAH,AFGHANISTAN,12/27/2012 12:00:00 AM,No
124,Food-Spice,Turmeric powder,Lead,1300,ppm,UNKNOWN OR NOT STATED,BANGLADESH,04/19/2011 12:00:00 AM,No
1547,Food-Spice,Harde powder,Lead,0.97,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/07/2015 12:00:00 AM,No
1459,Dietary Supplement/Medications/Remedy,Herbal powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/26/2015 12:00:00 AM,No
485,Dietary Supplement/Medications/Remedy,Sancochito,Lead,-1,ppm,Laboratorios Dr. Collado,DOMINICAN REPUBLIC,06/06/2012 12:00:00 AM,No
1583,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/Tian Wang Bu Xin Wan,Arsenic,2.3,ppm,Lanzhou Traditional Herbs,CHINA,12/03/2015 12:00:00 AM,No
174,Jewelry,Jewelry,Lead,830000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/17/2011 12:00:00 AM,No
220,Dietary Supplement/Medications/Remedy,Raj Bati (Ayurvedic),Mercury,4.9,ppm,Shree Baidyanath Ayurved Bhawan,INDIA,06/13/2011 12:00:00 AM,No
128,Food Other,Red jelly filled cookie,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,04/20/2011 12:00:00 AM,No
1096,Cosmetics,NeoClear Brightening & Clarifying Gel,Mercury,-1,ppm,Choice of Nature Ltd,LEBANON,04/01/2014 12:00:00 AM,No
1017,Toys/Children's Products,67 Chevy toy car,Lead,-1,ppm,Mattel,MALAYSIA,12/27/2013 12:00:00 AM,No
411,Food Other,Quinua,Lead,-1,ppm,UNKNOWN OR NOT STATED,ECUADOR,04/03/2012 12:00:00 AM,No
470,Toys/Children's Products,Crayon,Lead,0.85,ppm,UNKNOWN OR NOT STATED,CHINA,05/30/2012 12:00:00 AM,No
283,Cosmetics,Surma (Hashmi),Lead,610000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,08/30/2011 12:00:00 AM,No
1082,Cosmetics,Neoprosone Forte Soap,Mercury,-1,ppm,Technopharma Ltd UK,LEBANON,04/01/2014 12:00:00 AM,No
229,Dietary Supplement/Medications/Remedy,Garbhapal Ras (Ayurvedic),Arsenic,410,ppm,UNKNOWN OR NOT STATED,INDIA,06/21/2011 12:00:00 AM,No
754,Dietary Supplement/Medications/Remedy,Homeopathic remedy for stomach disorder,Mercury,-1,ppm,Kapsons Homoeo Clinics & Pharmacies,INDIA,03/29/2013 12:00:00 AM,No
140,Toys/Children's Products,Painted green and tan ceramic toy,Lead,2300,ppm,UNKNOWN OR NOT STATED,MEXICO,04/28/2011 12:00:00 AM,No
760,Dietary Supplement/Medications/Remedy,Homeopathic remedy for stomach disorder,Mercury,-1,ppm,Kapsons Homoeo Clinics & Pharmacies,INDIA,03/29/2013 12:00:00 AM,No
268,Dietary Supplement/Medications/Remedy,Shatavari Kalpa (Ayurvedic),Arsenic,-1,ppm,The Ayurvedeeya Arkashala Ltd. Satara,INDIA,08/25/2011 12:00:00 AM,No
333,Food-Spice,Spice,Lead,2.1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,12/05/2011 12:00:00 AM,No
1212,Toys/Children's Products,Painted metal car,Lead,-1,ppm,Hot Wheels,THAILAND,09/11/2014 12:00:00 AM,No
784,Tableware/Pottery,Clay Pot Cover,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,05/01/2013 12:00:00 AM,No
1473,Dietary Supplement/Medications/Remedy,Herbal capsules,Mercury,0.33,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/26/2015 12:00:00 AM,No
201,Food-Spice,Oregano,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,06/02/2011 12:00:00 AM,No
1519,Dietary Supplement/Medications/Remedy,Trishun (Ayurvedic),Arsenic,620,ppm,Zandu/ Emami Limited,INDIA,08/10/2015 12:00:00 AM,No
1599,Food-Spice,Turmeric,Lead,0.53,ppm,UNKNOWN OR NOT STATED,INDIA,12/11/2015 12:00:00 AM,No
794,Toys/Children's Products,Spinning Top,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNITED STATES,06/05/2013 12:00:00 AM,No
1156,Dietary Supplement/Medications/Remedy,Bo Ying Compound,Mercury,-1,ppm,Eu Yan Sang International Limited,UNITED STATES,07/29/2014 12:00:00 AM,No
1277,Jewelry,Amulet-metal clasps,Lead,1000000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/19/2015 12:00:00 AM,No
365,Dietary Supplement/Medications/Remedy,Ovarin (Ayurvedic),Lead,24000,ppm,Ban Labs Ltd.,INDIA,01/23/2012 12:00:00 AM,No
1138,Dietary Supplement/Medications/Remedy,Bo Ying  Compound,Mercury,-1,ppm,Eu Yan Sang (Hong Kong) Limited,HONG KONG,06/02/2014 12:00:00 AM,No
291,Food-Candy,Candy,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,09/08/2011 12:00:00 AM,No
980,Dietary Supplement/Medications/Remedy,Chandraprabah (Ayurvedic),Arsenic,-1,ppm,Jaihind Pharmacy,INDIA,11/15/2013 12:00:00 AM,No
989,Food-Spice,Chili Powder,Lead,-1,ppm,National,PAKISTAN,11/25/2013 12:00:00 AM,No
874,Food-Candy,Hard candy,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,07/25/2013 12:00:00 AM,No
751,Dietary Supplement/Medications/Remedy,Homeopathic remedy for stomach disorder,Mercury,-1,ppm,Kapsons Homoeo Clinics & Pharmacies,INDIA,03/29/2013 12:00:00 AM,No
1159,Dietary Supplement/Medications/Remedy,Bo Ying Compund,Mercury,-1,ppm,Eu Yan Sang International Limited,UNITED STATES,07/29/2014 12:00:00 AM,No
1094,Cosmetics,Deluxe Nadinola Bleaching Cream,Mercury,-1,ppm,UNKNOWN OR NOT STATED,JAMAICA,04/01/2014 12:00:00 AM,No
767,Food Other,Rice,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,03/29/2013 12:00:00 AM,No
1227,Tableware/Pottery,Mug,Lead,9500,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/24/2014 12:00:00 AM,No
1451,Cosmetics,Baby Powder,Lead,2.5,ppm,Mothercare,PAKISTAN,03/18/2015 12:00:00 AM,No
1349,Dietary Supplement/Medications/Remedy,Brahmi Bati (Buddhi Vardhak) (Ayurvedic),Arsenic,240,ppm,Shree Baidyanath,INDIA,02/25/2015 12:00:00 AM,No
1164,Cosmetics,Maxi Light - Lightening & Purifying Body Cream,Mercury,-1,ppm,UNKNOWN OR NOT STATED,COTE D'IVOIRE,08/06/2014 12:00:00 AM,No
650,Food-Spice,Food coloring powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,11/21/2012 12:00:00 AM,No
163,Food-Spice,Georgian salt,Lead,43,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,No
374,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,01/23/2012 12:00:00 AM,No
337,Food-Spice,Georgian salt,Lead,450,ppm,UNKNOWN OR NOT STATED,GEORGIA,12/12/2011 12:00:00 AM,No
1188,Food-Candy,Duvalin candy,Lead,0.5,ppm,UNKNOWN OR NOT STATED,UNITED STATES,08/21/2014 12:00:00 AM,No
490,Dietary Supplement/Medications/Remedy,Healthrich Multivitamin,Lead,1.2,ppm,INTAS PHARMACEUTICALS,INDIA,06/07/2012 12:00:00 AM,No
1442,Toys/Children's Products,Red toy tin pot,Lead,78,ppm,UNKNOWN OR NOT STATED,ECUADOR,03/05/2015 12:00:00 AM,No
833,Food Other,Basmati Rice Extra Long Kernel,Lead,-1,ppm,DATA CORPORATION,PAKISTAN,06/27/2013 12:00:00 AM,No
621,Food-Spice,Unlabeled Green Powder,Lead,56,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/16/2012 12:00:00 AM,No
62,Food-Spice,Georgian spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,03/25/2011 12:00:00 AM,No
992,Dietary Supplement/Medications/Remedy,Unlabeled capsules (Ayurvedic),Mercury,7.2,ppm,UNKNOWN OR NOT STATED,INDIA,12/10/2013 12:00:00 AM,No
223,Dietary Supplement/Medications/Remedy,Vatvidhwansan Ras (Ayurvedic),Mercury,15000,ppm,Shree Baidyanath,INDIA,06/13/2011 12:00:00 AM,No
206,Food-Spice,Cumin seeds,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,06/03/2011 12:00:00 AM,No
58,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/22/2011 12:00:00 AM,No
176,Dietary Supplement/Medications/Remedy,Mahasudarshan (Ayurvedic),Lead,7.7,ppm,Shree Baidyanath Ayurved,INDIA,05/17/2011 12:00:00 AM,No
385,Food-Spice,Turmeric powder,Lead,870,ppm,UNKNOWN OR NOT STATED,BANGLADESH,02/03/2012 12:00:00 AM,No
1341,Religious powder,Festival Colors,Arsenic,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/25/2015 12:00:00 AM,No
743,Cosmetics,Surma,Lead,0.99,ppm,UNKNOWN OR NOT STATED,INDIA,03/22/2013 12:00:00 AM,No
1031,Dietary Supplement/Medications/Remedy,Long Dan Xie Gan Wan,Arsenic,3,ppm,Lanzhou Traditional Herbs,CHINA,01/15/2014 12:00:00 AM,No
1354,Dietary Supplement/Medications/Remedy,Brahmi Bati (Buddhi Vardhak) (Ayurvedic),Mercury,22000,ppm,Shree Baidyanath,INDIA,02/25/2015 12:00:00 AM,No
1560,Food Other,Tortilla,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,11/18/2015 12:00:00 AM,No
1410,Dietary Supplement/Medications/Remedy,Arshoghni Bati (Ayurvedic),Mercury,23,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd",INDIA,02/25/2015 12:00:00 AM,No
1114,Food Other,Pumpkin seeds,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/29/2014 12:00:00 AM,No
1391,Dietary Supplement/Medications/Remedy,Rajbati (Gandhak Bati)(Gandhak&Sonth) (Ayurvedic),Mercury,6.9,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd.",INDIA,02/25/2015 12:00:00 AM,No
1224,Food-Spice,Turmeric powder,Lead,16,ppm,UNKNOWN OR NOT STATED,BANGLADESH,10/10/2014 12:00:00 AM,No
59,Dietary Supplement/Medications/Remedy,Cetamol - liquid pain & fever reliever,Lead,-1,ppm,Cetamol,JAMAICA,03/24/2011 12:00:00 AM,No
231,Dietary Supplement/Medications/Remedy,Garbhapal Ras (Ayurvedic),Mercury,19000,ppm,UNKNOWN OR NOT STATED,INDIA,06/21/2011 12:00:00 AM,No
579,Food-Spice,Oregano,Lead,-1,ppm,UNKNOWN OR NOT STATED,DOMINICAN REPUBLIC,09/05/2012 12:00:00 AM,No
580,Food Other,Soil from potted plants,Lead,13,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,09/05/2012 12:00:00 AM,No
359,Dietary Supplement/Medications/Remedy,Laxmana Louh (Ayurvedic),Lead,180,ppm,Vyas Pharmaceuticals,INDIA,01/23/2012 12:00:00 AM,No
194,Toys/Children's Products,Crayon,Lead,2.1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/24/2011 12:00:00 AM,No
745,Food-Spice,Whole red pepper,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,03/29/2013 12:00:00 AM,No
501,Food Other,Dried mushroom,Lead,0.87,ppm,UNKNOWN OR NOT STATED,JAPAN,06/08/2012 12:00:00 AM,No
38,Jewelry,Children's jewelry set,Lead,74,ppm,UNKNOWN OR NOT STATED,CHINA,03/09/2011 12:00:00 AM,No
1085,Cosmetics,Neoprosone-Gel,Lead,-1,ppm,Technopharma Ltd,INDIA,04/01/2014 12:00:00 AM,No
1091,Cosmetics,NeoClear Body Butter,Lead,12,ppm,UNKNOWN OR NOT STATED,LEBANON,04/01/2014 12:00:00 AM,No
603,Dietary Supplement/Medications/Remedy,Laxmi Vilas Ras (Nardiya) (Ayurvedic),Mercury,59000,ppm,Dabur,INDIA,09/20/2012 12:00:00 AM,No
433,Toys/Children's Products,Corgi Juniors,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNITED KINGDOM,04/23/2012 12:00:00 AM,No
1536,Food-Spice,Georgian spice,Lead,3200,ppm,UNKNOWN OR NOT STATED,GEORGIA,09/30/2015 12:00:00 AM,No
925,Food-Spice,Pomegranate Powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/22/2013 12:00:00 AM,No
335,Food-Candy,Vero Elotes Max Lollypop,Lead,-1,ppm,Vero,MEXICO,12/07/2011 12:00:00 AM,No
1279,Jewelry,Amulet-clear plastic beads,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/19/2015 12:00:00 AM,No
849,Dietary Supplement/Medications/Remedy,Dasamoolarishtam (Ayurvedic),Mercury,-1,ppm,Thaikkattu Mooss Vaidyaratnam Oushadhasala (P) Ltd,INDIA,07/17/2013 12:00:00 AM,No
651,Food-Spice,Food coloring powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,11/21/2012 12:00:00 AM,No
226,Cosmetics,Surma (Hashmi),Lead,140000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,06/16/2011 12:00:00 AM,No
