"Indicator","PUBLISH STATES","Year","WHO region","Country","Residence Area Type","Display Value","Numeric","Low","High","Comments"
"Population using safely managed sanitation services (%)","Published","2010","Europe","Albania","Total","39","38.63999","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Albania","Urban","40","39.98106","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Albania","Rural","38","37.76699","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Albania","Total","39","38.97484","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Albania","Urban","40","40.03538","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Albania","Rural","38","38.35633","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Albania","Total","39","39.29807","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Albania","Urban","40","40.08970","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Albania","Rural","39","38.94567","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Albania","Total","40","39.59755","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Albania","Urban","40","40.12262","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Albania","Rural","39","39.39478","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Albania","Total","40","39.83249","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Albania","Urban","40","40.17054","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Albania","Rural","39","39.39478","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Albania","Total","40","39.84033","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Albania","Urban","40","40.17054","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Albania","Rural","39","39.39478","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Albania","Total","40","39.84799","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Albania","Urban","40","40.17054","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Albania","Rural","39","39.39478","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Albania","Total","40","39.85545","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Albania","Urban","40","40.17054","","",""
"Population using safely managed sanitation services (%)","Published","2000","Africa","Algeria","Rural","19","19.23574","","",""
"Population using safely managed sanitation services (%)","Published","2000","Africa","Algeria","Total","19","18.53428","","",""
"Population using safely managed sanitation services (%)","Published","2000","Africa","Algeria","Urban","18","18.06506","","",""
"Population using safely managed sanitation services (%)","Published","2001","Africa","Algeria","Rural","19","19.33923","","",""
"Population using safely managed sanitation services (%)","Published","2001","Africa","Algeria","Total","19","18.50170","","",""
"Population using safely managed sanitation services (%)","Published","2001","Africa","Algeria","Urban","18","17.95971","","",""
"Population using safely managed sanitation services (%)","Published","2002","Africa","Algeria","Rural","19","19.44271","","",""
"Population using safely managed sanitation services (%)","Published","2002","Africa","Algeria","Total","18","18.46586","","",""
"Population using safely managed sanitation services (%)","Published","2002","Africa","Algeria","Urban","18","17.85436","","",""
"Population using safely managed sanitation services (%)","Published","2003","Africa","Algeria","Rural","20","19.54620","","",""
"Population using safely managed sanitation services (%)","Published","2003","Africa","Algeria","Total","18","18.42684","","",""
"Population using safely managed sanitation services (%)","Published","2003","Africa","Algeria","Urban","18","17.74901","","",""
"Population using safely managed sanitation services (%)","Published","2004","Africa","Algeria","Rural","20","19.64968","","",""
"Population using safely managed sanitation services (%)","Published","2004","Africa","Algeria","Total","18","18.38467","","",""
"Population using safely managed sanitation services (%)","Published","2004","Africa","Algeria","Urban","18","17.64366","","",""
"Population using safely managed sanitation services (%)","Published","2005","Africa","Algeria","Rural","20","19.75317","","",""
"Population using safely managed sanitation services (%)","Published","2005","Africa","Algeria","Total","18","18.33943","","",""
"Population using safely managed sanitation services (%)","Published","2005","Africa","Algeria","Urban","18","17.53831","","",""
"Population using safely managed sanitation services (%)","Published","2006","Africa","Algeria","Rural","20","19.85666","","",""
"Population using safely managed sanitation services (%)","Published","2006","Africa","Algeria","Total","18","18.29112","","",""
"Population using safely managed sanitation services (%)","Published","2006","Africa","Algeria","Urban","17","17.43296","","",""
"Population using safely managed sanitation services (%)","Published","2007","Africa","Algeria","Rural","20","19.96014","","",""
"Population using safely managed sanitation services (%)","Published","2007","Africa","Algeria","Total","18","18.23984","","",""
"Population using safely managed sanitation services (%)","Published","2007","Africa","Algeria","Urban","17","17.32761","","",""
"Population using safely managed sanitation services (%)","Published","2008","Africa","Algeria","Rural","20","20.06363","","",""
"Population using safely managed sanitation services (%)","Published","2008","Africa","Algeria","Total","18","18.18557","","",""
"Population using safely managed sanitation services (%)","Published","2008","Africa","Algeria","Urban","17","17.22226","","",""
"Population using safely managed sanitation services (%)","Published","2009","Africa","Algeria","Rural","20","20.16711","","",""
"Population using safely managed sanitation services (%)","Published","2009","Africa","Algeria","Total","18","18.12879","","",""
"Population using safely managed sanitation services (%)","Published","2009","Africa","Algeria","Urban","17","17.11691","","",""
"Population using safely managed sanitation services (%)","Published","2010","Africa","Algeria","Rural","20","20.27060","","",""
"Population using safely managed sanitation services (%)","Published","2010","Africa","Algeria","Total","18","18.06945","","",""
"Population using safely managed sanitation services (%)","Published","2010","Africa","Algeria","Urban","17","17.01156","","",""
"Population using safely managed sanitation services (%)","Published","2011","Africa","Algeria","Rural","20","20.37408","","",""
"Population using safely managed sanitation services (%)","Published","2011","Africa","Algeria","Total","18","18.00775","","",""
"Population using safely managed sanitation services (%)","Published","2011","Africa","Algeria","Urban","17","16.90622","","",""
"Population using safely managed sanitation services (%)","Published","2012","Africa","Algeria","Rural","20","20.47757","","",""
"Population using safely managed sanitation services (%)","Published","2012","Africa","Algeria","Total","18","17.94377","","",""
"Population using safely managed sanitation services (%)","Published","2012","Africa","Algeria","Urban","17","16.80087","","",""
"Population using safely managed sanitation services (%)","Published","2013","Africa","Algeria","Rural","21","20.58105","","",""
"Population using safely managed sanitation services (%)","Published","2013","Africa","Algeria","Total","18","17.87765","","",""
"Population using safely managed sanitation services (%)","Published","2013","Africa","Algeria","Urban","17","16.69551","","",""
"Population using safely managed sanitation services (%)","Published","2014","Africa","Algeria","Rural","21","20.68454","","",""
"Population using safely managed sanitation services (%)","Published","2014","Africa","Algeria","Total","18","17.80943","","",""
"Population using safely managed sanitation services (%)","Published","2014","Africa","Algeria","Urban","17","16.59017","","",""
"Population using safely managed sanitation services (%)","Published","2015","Africa","Algeria","Rural","21","20.78803","","",""
"Population using safely managed sanitation services (%)","Published","2015","Africa","Algeria","Total","18","17.73929","","",""
"Population using safely managed sanitation services (%)","Published","2015","Africa","Algeria","Urban","16","16.48482","","",""
"Population using safely managed sanitation services (%)","Published","2016","Africa","Algeria","Rural","21","20.78803","","",""
"Population using safely managed sanitation services (%)","Published","2016","Africa","Algeria","Total","18","17.71300","","",""
"Population using safely managed sanitation services (%)","Published","2016","Africa","Algeria","Urban","16","16.48482","","",""
"Population using safely managed sanitation services (%)","Published","2017","Africa","Algeria","Rural","21","20.78803","","",""
"Population using safely managed sanitation services (%)","Published","2017","Africa","Algeria","Total","18","17.68748","","",""
"Population using safely managed sanitation services (%)","Published","2017","Africa","Algeria","Urban","16","16.48482","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Andorra","Rural","15","14.60404","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Andorra","Total","15","14.60404","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Andorra","Urban","15","14.60404","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Andorra","Rural","22","21.78866","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Andorra","Total","22","21.78866","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Andorra","Urban","22","21.78866","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Andorra","Rural","29","28.97329","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Andorra","Total","29","28.97328","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Andorra","Urban","29","28.97329","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Andorra","Rural","36","36.15791","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Andorra","Total","36","36.15791","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Andorra","Urban","36","36.15791","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Andorra","Rural","43","43.34253","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Andorra","Total","43","43.34253","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Andorra","Urban","43","43.34253","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Andorra","Rural","51","50.52716","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Andorra","Total","51","50.52716","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Andorra","Urban","51","50.52716","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Andorra","Rural","58","57.71178","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Andorra","Total","58","57.71179","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Andorra","Urban","58","57.71178","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Andorra","Rural","65","64.89641","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Andorra","Total","65","64.89641","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Andorra","Urban","65","64.89641","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Andorra","Rural","72","72.08103","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Andorra","Total","72","72.08103","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Andorra","Urban","72","72.08103","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Andorra","Rural","79","79.26566","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Andorra","Total","79","79.26566","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Andorra","Urban","79","79.26566","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Andorra","Rural","86","86.45028","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Andorra","Total","86","86.45028","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Andorra","Urban","86","86.45028","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Andorra","Rural","94","93.63491","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Andorra","Total","94","93.63490","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Andorra","Urban","94","93.63491","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Andorra","Rural","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Andorra","Total","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Andorra","Urban","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Andorra","Rural","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Andorra","Total","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Andorra","Urban","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Andorra","Rural","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Andorra","Total","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Andorra","Urban","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Andorra","Rural","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Andorra","Total","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Andorra","Urban","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Andorra","Rural","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Andorra","Total","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Andorra","Urban","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Andorra","Rural","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Andorra","Total","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Andorra","Urban","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Armenia","Total","47","47.36839","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Armenia","Urban","45","45.40582","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Armenia","Total","47","47.48262","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Armenia","Urban","45","45.41829","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Armenia","Total","48","47.58996","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Armenia","Urban","45","45.42979","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Armenia","Total","48","47.69458","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Armenia","Urban","45","45.44034","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Armenia","Total","48","47.79869","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Armenia","Urban","45","45.44881","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Armenia","Total","48","47.90306","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Armenia","Urban","45","45.45631","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Armenia","Total","48","47.97270","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Armenia","Urban","45","45.46284","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Armenia","Total","48","48.01411","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Armenia","Urban","45","45.46841","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Armenia","Total","48","48.05494","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Armenia","Urban","45","45.47301","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Armenia","Total","48","48.09533","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Armenia","Urban","45","45.47665","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Armenia","Total","48","48.13523","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Armenia","Urban","45","45.47932","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Armenia","Total","48","48.17464","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Armenia","Urban","45","45.48102","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Armenia","Total","48","48.21355","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Armenia","Urban","45","45.48176","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Armenia","Total","48","48.25018","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Armenia","Urban","45","45.48153","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Armenia","Total","48","48.28449","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Armenia","Urban","45","45.48033","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Armenia","Total","48","48.31633","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Armenia","Urban","45","45.47816","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Armenia","Total","48","48.30069","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Armenia","Urban","45","45.41206","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Armenia","Total","48","48.22317","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Armenia","Urban","45","45.26220","","",""
"Population using safely managed sanitation services (%)","Published","2000","Western Pacific","Australia","Total","64","64.21299","","",""
"Population using safely managed sanitation services (%)","Published","2001","Western Pacific","Australia","Total","64","64.21299","","",""
"Population using safely managed sanitation services (%)","Published","2002","Western Pacific","Australia","Total","64","64.21299","","",""
"Population using safely managed sanitation services (%)","Published","2003","Western Pacific","Australia","Total","64","64.21299","","",""
"Population using safely managed sanitation services (%)","Published","2004","Western Pacific","Australia","Total","64","64.21299","","",""
"Population using safely managed sanitation services (%)","Published","2005","Western Pacific","Australia","Total","65","65.09198","","",""
"Population using safely managed sanitation services (%)","Published","2006","Western Pacific","Australia","Total","66","65.97097","","",""
"Population using safely managed sanitation services (%)","Published","2007","Western Pacific","Australia","Total","67","66.84996","","",""
"Population using safely managed sanitation services (%)","Published","2008","Western Pacific","Australia","Total","68","67.72895","","",""
"Population using safely managed sanitation services (%)","Published","2009","Western Pacific","Australia","Total","69","68.60794","","",""
"Population using safely managed sanitation services (%)","Published","2010","Western Pacific","Australia","Total","69","69.48693","","",""
"Population using safely managed sanitation services (%)","Published","2011","Western Pacific","Australia","Total","70","70.36592","","",""
"Population using safely managed sanitation services (%)","Published","2012","Western Pacific","Australia","Total","71","71.24492","","",""
"Population using safely managed sanitation services (%)","Published","2013","Western Pacific","Australia","Total","72","72.12391","","",""
"Population using safely managed sanitation services (%)","Published","2014","Western Pacific","Australia","Total","73","73.00290","","",""
"Population using safely managed sanitation services (%)","Published","2015","Western Pacific","Australia","Total","74","73.88189","","",""
"Population using safely managed sanitation services (%)","Published","2016","Western Pacific","Australia","Total","75","74.76088","","",""
"Population using safely managed sanitation services (%)","Published","2017","Western Pacific","Australia","Total","76","75.63987","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Austria","Rural","92","92.30136","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Austria","Total","97","96.93694","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Austria","Urban","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Austria","Rural","92","92.30138","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Austria","Total","97","96.91547","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Austria","Urban","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Austria","Total","97","96.89400","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Austria","Urban","100","100.00000","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Austria","Total","97","96.87083","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Austria","Urban","100","99.99727","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Austria","Total","97","96.84735","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Austria","Urban","100","99.99413","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Austria","Total","97","96.82388","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Austria","Urban","100","99.99100","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Austria","Total","97","96.80044","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Austria","Urban","100","99.98786","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Austria","Total","97","96.77686","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Austria","Urban","100","99.98473","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Austria","Total","97","96.75330","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Austria","Urban","100","99.98159","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Austria","Total","97","96.72976","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Austria","Urban","100","99.97845","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Austria","Total","97","96.70615","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Austria","Urban","100","99.97532","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Austria","Total","97","96.68257","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Austria","Urban","100","99.97218","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Austria","Total","97","96.68324","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Austria","Urban","100","99.96905","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Austria","Total","97","96.69593","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Austria","Urban","100","99.96591","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Austria","Total","97","96.70869","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Austria","Urban","100","99.96278","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Austria","Total","97","96.72136","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Austria","Urban","100","99.95964","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Austria","Total","97","96.73409","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Austria","Urban","100","99.95650","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Austria","Rural","92","92.30141","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Austria","Total","97","96.74673","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Austria","Urban","100","99.95337","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Azerbaijan","Urban","70","70.23019","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Azerbaijan","Urban","71","71.07327","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Azerbaijan","Urban","72","71.91543","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Azerbaijan","Urban","73","72.75667","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Azerbaijan","Urban","74","73.59700","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Azerbaijan","Urban","75","75.40173","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Azerbaijan","Urban","77","77.22835","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Azerbaijan","Urban","79","79.07684","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Azerbaijan","Urban","81","80.94723","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Azerbaijan","Urban","83","82.83950","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Azerbaijan","Urban","85","84.75365","","",""
"Population using safely managed sanitation services (%)","Published","2011","Europe","Azerbaijan","Urban","87","86.68970","","",""
"Population using safely managed sanitation services (%)","Published","2012","Europe","Azerbaijan","Urban","89","88.64764","","",""
"Population using safely managed sanitation services (%)","Published","2013","Europe","Azerbaijan","Urban","91","90.62746","","",""
"Population using safely managed sanitation services (%)","Published","2014","Europe","Azerbaijan","Urban","92","91.55624","","",""
"Population using safely managed sanitation services (%)","Published","2015","Europe","Azerbaijan","Urban","92","92.36407","","",""
"Population using safely managed sanitation services (%)","Published","2016","Europe","Azerbaijan","Urban","92","92.28501","","",""
"Population using safely managed sanitation services (%)","Published","2017","Europe","Azerbaijan","Urban","92","92.20595","","",""
"Population using safely managed sanitation services (%)","Published","2000","Eastern Mediterranean","Bahrain","Total","96","95.85440","","",""
"Population using safely managed sanitation services (%)","Published","2001","Eastern Mediterranean","Bahrain","Total","96","95.86792","","",""
"Population using safely managed sanitation services (%)","Published","2002","Eastern Mediterranean","Bahrain","Total","96","95.88144","","",""
"Population using safely managed sanitation services (%)","Published","2003","Eastern Mediterranean","Bahrain","Total","96","95.89496","","",""
"Population using safely managed sanitation services (%)","Published","2004","Eastern Mediterranean","Bahrain","Total","96","95.90848","","",""
"Population using safely managed sanitation services (%)","Published","2005","Eastern Mediterranean","Bahrain","Total","96","95.92200","","",""
"Population using safely managed sanitation services (%)","Published","2006","Eastern Mediterranean","Bahrain","Total","96","95.93552","","",""
"Population using safely managed sanitation services (%)","Published","2007","Eastern Mediterranean","Bahrain","Total","96","95.94904","","",""
